31.6654 	INFO 	Loaded monitor calibration from ['2025_08_11 19:48']
31.6975 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
32.0088 	INFO 	Using renderer 'AMD Radeon(TM) Graphics' for graphics
32.0088 	INFO 	OpenGL version supported by driver is 4..
32.0742 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026194E8FB50>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026194E8FAF0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000026194F5D3F0>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(0.0), np.float64(0.0)], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
32.0744 	EXP 	window1: backgroundImage = ''
32.0744 	EXP 	window1: backgroundFit = 'none'
32.8987 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
32.8988 	EXP 	window1: recordFrameIntervals = False
33.1564 	EXP 	window1: recordFrameIntervals = True
33.3406 	EXP 	Screen (0) actual frame rate measured at 59.75Hz
33.3407 	EXP 	window1: recordFrameIntervals = False
33.4284 	INFO 	keyboard.Keyboard is using ptb backend.
33.4287 	INFO 	keyboard.Keyboard is using ptb backend.
33.4289 	EXP 	untitled: status = STARTED
33.4357 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
33.4381 	EXP 	Created line1 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='line1', opacity=1, ori=90.0, pos=array([-150.,    0.]), size=array([100.,  10.]), units='pix', vertices=ndarray(...), win=Window(...))
